id,System,Month,AREA,Site,Oper,Factor,Target,Value,,,,,,
63,EMS,202501,PKG,IC,W/B,Linearity,실적,0.9500,,,,,,
64,EMS,202501,PKG,IC,W/B,Loss,실적,0.9937 ,,,,,,
65,EMS,202501,PKG,IC,M/D,투자가동률,실적,0.6036,,,,,,
66,EMS,202501,PKG,IC,M/D,No Wip,실적,0.5342,,,,,,
67,EMS,202501,PKG,IC,M/D,Linearity,실적,0.9500,,,,,,
68,EMS,202501,PKG,IC,M/D,Loss,실적,0.3964 ,,,,,,
69,EMS,202501,PKG,IC,M/K,투자가동률,실적,0.7581,,,,,,
70,EMS,202501,PKG,IC,M/K,No Wip,실적,0.2206,,,,,,
71,EMS,202501,PKG,IC,M/K,Linearity,실적,0.9500,,,,,,
72,EMS,202501,PKG,IC,M/K,Loss,실적,0.2419 ,,,,,,
73,EMS,202501,PKG,IC,SBM,투자가동률,실적,0.6208,,,,,,
74,EMS,202501,PKG,IC,SBM,No Wip,실적,0.0266,,,,,,
75,EMS,202501,PKG,IC,SBM,Linearity,실적,0.9500,,,,,,
76,EMS,202501,PKG,IC,SBM,Loss,실적,0.3792 ,,,,,,
77,EMS,202501,PKG,IC,S/G,투자가동률,실적,0.4776,,,,,,
78,EMS,202501,PKG,IC,S/G,No Wip,실적,0.2670,,,,,,
79,EMS,202501,PKG,IC,S/G,Linearity,실적,0.9500,,,,,,
80,EMS,202501,PKG,IC,S/G,Loss,실적,0.5224 ,,,,,,
81,RPT,202501,PKG,IC,B/G,투자가동률,실적,0.5223,,,,,,
82,RPT,202501,PKG,IC,B/G,No Wip,실적,0.0729,,,,,,
83,RPT,202501,PKG,IC,B/G,Linearity,실적,0.9500,,,,,,
84,RPT,202501,PKG,IC,B/G,Loss,실적,0.4777 ,,,,,,
85,RPT,202501,PKG,IC,WSD,투자가동률,실적,0.0517,,,,,,
86,RPT,202501,PKG,IC,WSD,No Wip,실적,0.0272,,,,,,
87,RPT,202501,PKG,IC,WSD,Linearity,실적,0.9500,,,,,,
88,RPT,202501,PKG,IC,WSD,Loss,실적,0.9483 ,,,,,,
89,RPT,202501,PKG,IC,W/S,투자가동률,실적,0.5267,,,,,,
90,RPT,202501,PKG,IC,W/S,No Wip,실적,0.2315,,,,,,
91,RPT,202501,PKG,IC,W/S,Linearity,실적,0.9500,,,,,,
92,RPT,202501,PKG,IC,W/S,Loss,실적,0.4733 ,,,,,,
93,RPT,202501,PKG,IC,D/A,투자가동률,실적,0.8339,,,,,,
94,RPT,202501,PKG,IC,D/A,No Wip,실적,0.0012,,,,,,
95,RPT,202501,PKG,IC,D/A,Linearity,실적,0.9500,,,,,,
96,RPT,202501,PKG,IC,D/A,Loss,실적,0.1661 ,,,,,,
97,RPT,202501,PKG,IC,FCB,투자가동률,실적,0.0335,,,,,,
98,RPT,202501,PKG,IC,FCB,No Wip,실적,0.0161,,,,,,
99,RPT,202501,PKG,IC,FCB,Linearity,실적,0.9500,,,,,,
100,RPT,202501,PKG,IC,FCB,Loss,실적,0.9665 ,,,,,,
101,RPT,202501,PKG,IC,W/B,투자가동률,실적,0.1286,,,,,,
102,RPT,202501,PKG,IC,W/B,No Wip,실적,0.0479,,,,,,
103,RPT,202501,PKG,IC,W/B,Linearity,실적,0.9500,,,,,,
104,RPT,202501,PKG,IC,W/B,Loss,실적,0.8714 ,,,,,,
105,RPT,202501,PKG,IC,M/D,투자가동률,실적,0.9356,,,,,,
106,RPT,202501,PKG,IC,M/D,No Wip,실적,0.2968,,,,,,
107,RPT,202501,PKG,IC,M/D,Linearity,실적,0.9500,,,,,,
108,RPT,202501,PKG,IC,M/D,Loss,실적,0.0644 ,,,,,,
109,RPT,202501,PKG,IC,M/K,투자가동률,실적,0.7191,,,,,,
110,RPT,202501,PKG,IC,M/K,No Wip,실적,0.6425,,,,,,
111,RPT,202501,PKG,IC,M/K,Linearity,실적,0.9500,,,,,,
112,RPT,202501,PKG,IC,M/K,Loss,실적,0.2809 ,,,,,,
113,RPT,202501,PKG,IC,SBM,투자가동률,실적,0.5691,,,,,,
114,RPT,202501,PKG,IC,SBM,No Wip,실적,0.4761,,,,,,
115,RPT,202501,PKG,IC,SBM,Linearity,실적,0.9500,,,,,,
116,RPT,202501,PKG,IC,SBM,Loss,실적,0.4309 ,,,,,,
117,RPT,202501,PKG,IC,S/G,투자가동률,실적,0.1426,,,,,,
118,RPT,202501,PKG,IC,S/G,No Wip,실적,0.0621,,,,,,
119,RPT,202501,PKG,IC,S/G,Linearity,실적,0.9500,,,,,,
120,RPT,202501,PKG,IC,S/G,Loss,실적,0.8574 ,,,,,,
121,CIM,202501,PKG,IC,B/G,투자가동률,실적,0.8114,,,,,,
122,CIM,202501,PKG,IC,B/G,No Wip,실적,0.7681,,,,,,
123,CIM,202501,PKG,IC,B/G,Linearity,실적,0.9500,,,,,,
124,CIM,202501,PKG,IC,B/G,Loss,실적,0.1886 ,,,,,,
125,CIM,202501,PKG,IC,WSD,투자가동률,실적,0.6784,,,,,,
126,CIM,202501,PKG,IC,WSD,No Wip,실적,0.2016,,,,,,
127,CIM,202501,PKG,IC,WSD,Linearity,실적,0.9500,,,,,,
128,CIM,202501,PKG,IC,WSD,Loss,실적,0.3216 ,,,,,,
129,CIM,202501,PKG,IC,W/S,투자가동률,실적,0.0176,,,,,,
130,CIM,202501,PKG,IC,W/S,No Wip,실적,0.0112,,,,,,
131,CIM,202501,PKG,IC,W/S,Linearity,실적,0.9500,,,,,,
132,CIM,202501,PKG,IC,W/S,Loss,실적,0.9824 ,,,,,,
133,CIM,202501,PKG,IC,D/A,투자가동률,실적,0.4494,,,,,,
134,CIM,202501,PKG,IC,D/A,No Wip,실적,0.4490,,,,,,
135,CIM,202501,PKG,IC,D/A,Linearity,실적,0.9500,,,,,,
136,CIM,202501,PKG,IC,D/A,Loss,실적,0.5506 ,,,,,,
137,CIM,202501,PKG,IC,FCB,투자가동률,실적,0.3956,,,,,,
138,CIM,202501,PKG,IC,FCB,No Wip,실적,0.1035,,,,,,
139,CIM,202501,PKG,IC,FCB,Linearity,실적,0.9500,,,,,,
140,CIM,202501,PKG,IC,FCB,Loss,실적,0.6044 ,,,,,,
141,CIM,202501,PKG,IC,W/B,투자가동률,실적,0.3782,,,,,,
142,CIM,202501,PKG,IC,W/B,No Wip,실적,0.2899,,,,,,
143,CIM,202501,PKG,IC,W/B,Linearity,실적,0.9500,,,,,,
144,CIM,202501,PKG,IC,W/B,Loss,실적,0.6218 ,,,,,,
145,CIM,202501,PKG,IC,M/D,투자가동률,실적,0.0611,,,,,,
146,CIM,202501,PKG,IC,M/D,No Wip,실적,0.0209,,,,,,
147,CIM,202501,PKG,IC,M/D,Linearity,실적,0.9500,,,,,,
148,CIM,202501,PKG,IC,M/D,Loss,실적,0.9389 ,,,,,,
149,CIM,202501,PKG,IC,M/K,투자가동률,실적,0.0673,,,,,,
150,CIM,202501,PKG,IC,M/K,No Wip,실적,0.0516,,,,,,
151,CIM,202501,PKG,IC,M/K,Linearity,실적,0.9500,,,,,,
152,CIM,202501,PKG,IC,M/K,Loss,실적,0.9327 ,,,,,,
153,CIM,202501,PKG,IC,SBM,투자가동률,실적,0.8254,,,,,,
154,CIM,202501,PKG,IC,SBM,No Wip,실적,0.7254,,,,,,
155,CIM,202501,PKG,IC,SBM,Linearity,실적,0.9500,,,,,,
156,CIM,202501,PKG,IC,SBM,Loss,실적,0.1746 ,,,,,,
157,CIM,202501,PKG,IC,S/G,투자가동률,실적,0.7140,,,,,,
158,CIM,202501,PKG,IC,S/G,No Wip,실적,0.5830,,,,,,
159,CIM,202501,PKG,IC,S/G,Linearity,실적,0.9500,,,,,,
160,CIM,202501,PKG,IC,S/G,Loss,실적,0.2860 ,,,,,,
161,GMS,202501,PKG,IC,B/G,투자가동률,목표,0.1328,,,,,,
162,GMS,202501,PKG,IC,B/G,No Wip,목표,0.1278,,,,,,
163,GMS,202501,PKG,IC,B/G,Linearity,목표,0.9500,,,,,,
164,GMS,202501,PKG,IC,B/G,Loss,목표,0.8672 ,,,,,,
165,GMS,202501,PKG,IC,WSD,투자가동률,목표,0.5443,,,,,,
166,GMS,202501,PKG,IC,WSD,No Wip,목표,0.2949,,,,,,
167,GMS,202501,PKG,IC,WSD,Linearity,목표,0.9500,,,,,,
168,GMS,202501,PKG,IC,WSD,Loss,목표,0.4557 ,,,,,,
169,GMS,202501,PKG,IC,W/S,투자가동률,목표,0.0521,,,,,,
170,GMS,202501,PKG,IC,W/S,No Wip,목표,0.0369,,,,,,
171,GMS,202501,PKG,IC,W/S,Linearity,목표,0.9500,,,,,,
172,GMS,202501,PKG,IC,W/S,Loss,목표,0.9479 ,,,,,,
173,GMS,202501,PKG,IC,D/A,투자가동률,목표,0.2874,,,,,,
174,GMS,202501,PKG,IC,D/A,No Wip,목표,0.0307,,,,,,
175,GMS,202501,PKG,IC,D/A,Linearity,목표,0.9500,,,,,,
176,GMS,202501,PKG,IC,D/A,Loss,목표,0.7126 ,,,,,,
177,GMS,202501,PKG,IC,FCB,투자가동률,목표,0.5366,,,,,,
178,GMS,202501,PKG,IC,FCB,No Wip,목표,0.0503,,,,,,
179,GMS,202501,PKG,IC,FCB,Linearity,목표,0.9500,,,,,,
180,GMS,202501,PKG,IC,FCB,Loss,목표,0.4634 ,,,,,,
181,GMS,202501,PKG,IC,W/B,투자가동률,목표,0.3288,,,,,,
182,GMS,202501,PKG,IC,W/B,No Wip,목표,0.1184,,,,,,
183,GMS,202501,PKG,IC,W/B,Linearity,목표,0.9500,,,,,,
184,GMS,202501,PKG,IC,W/B,Loss,목표,0.6712 ,,,,,,
185,GMS,202501,PKG,IC,M/D,투자가동률,목표,0.0925,,,,,,
186,GMS,202501,PKG,IC,M/D,No Wip,목표,0.0526,,,,,,
187,GMS,202501,PKG,IC,M/D,Linearity,목표,0.9500,,,,,,
188,GMS,202501,PKG,IC,M/D,Loss,목표,0.9075 ,,,,,,
189,GMS,202501,PKG,IC,M/K,투자가동률,목표,0.3805,,,,,,
190,GMS,202501,PKG,IC,M/K,No Wip,목표,0.3771,,,,,,
191,GMS,202501,PKG,IC,M/K,Linearity,목표,0.9500,,,,,,
192,GMS,202501,PKG,IC,M/K,Loss,목표,0.6195 ,,,,,,
193,GMS,202501,PKG,IC,SBM,투자가동률,목표,0.4997,,,,,,
194,GMS,202501,PKG,IC,SBM,No Wip,목표,0.0601,,,,,,
195,GMS,202501,PKG,IC,SBM,Linearity,목표,0.9500,,,,,,
196,GMS,202501,PKG,IC,SBM,Loss,목표,0.5003 ,,,,,,
197,GMS,202501,PKG,IC,S/G,투자가동률,목표,0.5980,,,,,,
198,GMS,202501,PKG,IC,S/G,No Wip,목표,0.0896,,,,,,
199,GMS,202501,PKG,IC,S/G,Linearity,목표,0.9500,,,,,,
200,GMS,202501,PKG,IC,S/G,Loss,목표,0.4020 ,,,,,,
201,EMS,202501,PKG,IC,B/G,투자가동률,목표,0.2039,,,,,,
202,EMS,202501,PKG,IC,B/G,No Wip,목표,0.0580,,,,,,
203,EMS,202501,PKG,IC,B/G,Linearity,목표,0.9500,,,,,,
204,EMS,202501,PKG,IC,B/G,Loss,목표,0.7961 ,,,,,,
205,EMS,202501,PKG,IC,WSD,투자가동률,목표,0.5917,,,,,,
206,EMS,202501,PKG,IC,WSD,No Wip,목표,0.1664,,,,,,
207,EMS,202501,PKG,IC,WSD,Linearity,목표,0.9500,,,,,,
208,EMS,202501,PKG,IC,WSD,Loss,목표,0.4083 ,,,,,,
209,EMS,202501,PKG,IC,W/S,투자가동률,목표,0.9436,,,,,,
210,EMS,202501,PKG,IC,W/S,No Wip,목표,0.4090,,,,,,
211,EMS,202501,PKG,IC,W/S,Linearity,목표,0.9500,,,,,,
212,EMS,202501,PKG,IC,W/S,Loss,목표,0.0564 ,,,,,,
213,EMS,202501,PKG,IC,D/A,투자가동률,목표,0.2997,,,,,,
214,EMS,202501,PKG,IC,D/A,No Wip,목표,0.2630,,,,,,
215,EMS,202501,PKG,IC,D/A,Linearity,목표,0.9500,,,,,,
216,EMS,202501,PKG,IC,D/A,Loss,목표,0.7003 ,,,,,,
217,EMS,202501,PKG,IC,FCB,투자가동률,목표,0.4187,,,,,,
218,EMS,202501,PKG,IC,FCB,No Wip,목표,0.2271,,,,,,
219,EMS,202501,PKG,IC,FCB,Linearity,목표,0.9500,,,,,,
220,EMS,202501,PKG,IC,FCB,Loss,목표,0.5813 ,,,,,,
221,EMS,202501,PKG,IC,W/B,투자가동률,목표,0.7463,,,,,,
222,EMS,202501,PKG,IC,W/B,No Wip,목표,0.2263,,,,,,
223,EMS,202501,PKG,IC,W/B,Linearity,목표,0.9500,,,,,,
224,EMS,202501,PKG,IC,W/B,Loss,목표,0.2537 ,,,,,,
225,EMS,202501,PKG,IC,M/D,투자가동률,목표,0.0226,,,,,,
226,EMS,202501,PKG,IC,M/D,No Wip,목표,0.0201,,,,,,
227,EMS,202501,PKG,IC,M/D,Linearity,목표,0.9500,,,,,,
228,EMS,202501,PKG,IC,M/D,Loss,목표,0.9774 ,,,,,,
229,EMS,202501,PKG,IC,M/K,투자가동률,목표,0.6824,,,,,,
230,EMS,202501,PKG,IC,M/K,No Wip,목표,0.5397,,,,,,
231,EMS,202501,PKG,IC,M/K,Linearity,목표,0.9500,,,,,,
232,EMS,202501,PKG,IC,M/K,Loss,목표,0.3176 ,,,,,,
233,EMS,202501,PKG,IC,SBM,투자가동률,목표,0.9722,,,,,,
234,EMS,202501,PKG,IC,SBM,No Wip,목표,0.7944,,,,,,
235,EMS,202501,PKG,IC,SBM,Linearity,목표,0.9500,,,,,,
236,EMS,202501,PKG,IC,SBM,Loss,목표,0.0278 ,,,,,,
237,EMS,202501,PKG,IC,S/G,투자가동률,목표,0.4511,,,,,,
238,EMS,202501,PKG,IC,S/G,No Wip,목표,0.2973,,,,,,
239,EMS,202501,PKG,IC,S/G,Linearity,목표,0.9500,,,,,,
240,EMS,202501,PKG,IC,S/G,Loss,목표,0.5489 ,,,,,,
241,RPT,202501,PKG,IC,B/G,투자가동률,목표,0.1169,,,,,,
242,RPT,202501,PKG,IC,B/G,No Wip,목표,0.0895,,,,,,
243,RPT,202501,PKG,IC,B/G,Linearity,목표,0.9500,,,,,,
244,RPT,202501,PKG,IC,B/G,Loss,목표,0.8831 ,,,,,,
245,RPT,202501,PKG,IC,WSD,투자가동률,목표,0.2395,,,,,,
246,RPT,202501,PKG,IC,WSD,No Wip,목표,0.0532,,,,,,
247,RPT,202501,PKG,IC,WSD,Linearity,목표,0.9500,,,,,,
248,RPT,202501,PKG,IC,WSD,Loss,목표,0.7605 ,,,,,,
249,RPT,202501,PKG,IC,W/S,투자가동률,목표,0.4269,,,,,,
250,RPT,202501,PKG,IC,W/S,No Wip,목표,0.0741,,,,,,
251,RPT,202501,PKG,IC,W/S,Linearity,목표,0.9500,,,,,,
252,RPT,202501,PKG,IC,W/S,Loss,목표,0.5731 ,,,,,,
253,RPT,202501,PKG,IC,D/A,투자가동률,목표,0.5622,,,,,,
254,RPT,202501,PKG,IC,D/A,No Wip,목표,0.3459,,,,,,
255,RPT,202501,PKG,IC,D/A,Linearity,목표,0.9500,,,,,,
256,RPT,202501,PKG,IC,D/A,Loss,목표,0.4378 ,,,,,,
257,RPT,202501,PKG,IC,FCB,투자가동률,목표,0.4624,,,,,,
258,RPT,202501,PKG,IC,FCB,No Wip,목표,0.4442,,,,,,
259,RPT,202501,PKG,IC,FCB,Linearity,목표,0.9500,,,,,,
260,RPT,202501,PKG,IC,FCB,Loss,목표,0.5376 ,,,,,,
261,RPT,202501,PKG,IC,W/B,투자가동률,목표,0.1369,,,,,,
262,RPT,202501,PKG,IC,W/B,No Wip,목표,0.1312,,,,,,
263,RPT,202501,PKG,IC,W/B,Linearity,목표,0.9500,,,,,,
264,RPT,202501,PKG,IC,W/B,Loss,목표,0.8631 ,,,,,,
265,RPT,202501,PKG,IC,M/D,투자가동률,목표,0.1768,,,,,,
266,RPT,202501,PKG,IC,M/D,No Wip,목표,0.0861,,,,,,
267,RPT,202501,PKG,IC,M/D,Linearity,목표,0.9500,,,,,,
268,RPT,202501,PKG,IC,M/D,Loss,목표,0.8232 ,,,,,,
269,RPT,202501,PKG,IC,M/K,투자가동률,목표,0.9944,,,,,,
270,RPT,202501,PKG,IC,M/K,No Wip,목표,0.1597,,,,,,
271,RPT,202501,PKG,IC,M/K,Linearity,목표,0.9500,,,,,,
272,RPT,202501,PKG,IC,M/K,Loss,목표,0.0056 ,,,,,,
273,RPT,202501,PKG,IC,SBM,투자가동률,목표,0.8350,,,,,,
274,RPT,202501,PKG,IC,SBM,No Wip,목표,0.3354,,,,,,
275,RPT,202501,PKG,IC,SBM,Linearity,목표,0.9500,,,,,,
276,RPT,202501,PKG,IC,SBM,Loss,목표,0.1650 ,,,,,,
277,RPT,202501,PKG,IC,S/G,투자가동률,목표,0.8870,,,,,,
278,RPT,202501,PKG,IC,S/G,No Wip,목표,0.0282,,,,,,
279,RPT,202501,PKG,IC,S/G,Linearity,목표,0.9500,,,,,,
280,RPT,202501,PKG,IC,S/G,Loss,목표,0.1130 ,,,,,,
281,CIM,202501,PKG,IC,B/G,투자가동률,목표,0.4560,,,,,,
282,CIM,202501,PKG,IC,B/G,No Wip,목표,0.2105,,,,,,
283,CIM,202501,PKG,IC,B/G,Linearity,목표,0.9500,,,,,,
284,CIM,202501,PKG,IC,B/G,Loss,목표,0.5440 ,,,,,,
285,CIM,202501,PKG,IC,WSD,투자가동률,목표,0.9580,,,,,,
286,CIM,202501,PKG,IC,WSD,No Wip,목표,0.3417,,,,,,
287,CIM,202501,PKG,IC,WSD,Linearity,목표,0.9500,,,,,,
288,CIM,202501,PKG,IC,WSD,Loss,목표,0.0420 ,,,,,,
289,CIM,202501,PKG,IC,W/S,투자가동률,목표,0.2146,,,,,,
290,CIM,202501,PKG,IC,W/S,No Wip,목표,0.1364,,,,,,
291,CIM,202501,PKG,IC,W/S,Linearity,목표,0.9500,,,,,,
292,CIM,202501,PKG,IC,W/S,Loss,목표,0.7854 ,,,,,,
293,CIM,202501,PKG,IC,D/A,투자가동률,목표,0.7874,,,,,,
294,CIM,202501,PKG,IC,D/A,No Wip,목표,0.5887,,,,,,
295,CIM,202501,PKG,IC,D/A,Linearity,목표,0.9500,,,,,,
296,CIM,202501,PKG,IC,D/A,Loss,목표,0.2126 ,,,,,,
297,CIM,202501,PKG,IC,FCB,투자가동률,목표,0.1985,,,,,,
298,CIM,202501,PKG,IC,FCB,No Wip,목표,0.1373,,,,,,
299,CIM,202501,PKG,IC,FCB,Linearity,목표,0.9500,,,,,,
300,CIM,202501,PKG,IC,FCB,Loss,목표,0.8015 ,,,,,,
301,CIM,202501,PKG,IC,W/B,투자가동률,목표,0.9079,,,,,,
302,CIM,202501,PKG,IC,W/B,No Wip,목표,0.7545,,,,,,
303,CIM,202501,PKG,IC,W/B,Linearity,목표,0.9500,,,,,,
304,CIM,202501,PKG,IC,W/B,Loss,목표,0.0921 ,,,,,,
305,CIM,202501,PKG,IC,M/D,투자가동률,목표,0.0514,,,,,,
306,CIM,202501,PKG,IC,M/D,No Wip,목표,0.0004,,,,,,
307,CIM,202501,PKG,IC,M/D,Linearity,목표,0.9500,,,,,,
308,CIM,202501,PKG,IC,M/D,Loss,목표,0.9486 ,,,,,,
309,CIM,202501,PKG,IC,M/K,투자가동률,목표,0.5656,,,,,,
310,CIM,202501,PKG,IC,M/K,No Wip,목표,0.3874,,,,,,
311,CIM,202501,PKG,IC,M/K,Linearity,목표,0.9500,,,,,,
312,CIM,202501,PKG,IC,M/K,Loss,목표,0.4344 ,,,,,,
313,CIM,202501,PKG,IC,SBM,투자가동률,목표,0.1066,,,,,,
314,CIM,202501,PKG,IC,SBM,No Wip,목표,0.0772,,,,,,
315,CIM,202501,PKG,IC,SBM,Linearity,목표,0.9500,,,,,,
316,CIM,202501,PKG,IC,SBM,Loss,목표,0.8934 ,,,,,,
317,CIM,202501,PKG,IC,S/G,투자가동률,목표,0.8779,,,,,,
318,CIM,202501,PKG,IC,S/G,No Wip,목표,0.7669,,,,,,
319,CIM,202501,PKG,IC,S/G,Linearity,목표,0.9500,,,,,,
320,CIM,202501,PKG,IC,S/G,Loss,목표,0.1221 ,,,,,,
321,GMS,202502,PKG,IC,B/G,투자가동률,실적,0.1668,,,,,,
322,GMS,202502,PKG,IC,B/G,No Wip,실적,0.0195,,,,,,
323,GMS,202502,PKG,IC,B/G,Linearity,실적,0.9500,,,,,,
324,GMS,202502,PKG,IC,B/G,Loss,실적,0.8332 ,,,,,,
325,GMS,202502,PKG,IC,WSD,투자가동률,실적,0.6128,,,,,,
326,GMS,202502,PKG,IC,WSD,No Wip,실적,0.4951,,,,,,
327,GMS,202502,PKG,IC,WSD,Linearity,실적,0.9500,,,,,,
328,GMS,202502,PKG,IC,WSD,Loss,실적,0.3872 ,,,,,,
329,GMS,202502,PKG,IC,W/S,투자가동률,실적,0.2951,,,,,,
330,GMS,202502,PKG,IC,W/S,No Wip,실적,0.1398,,,,,,
331,GMS,202502,PKG,IC,W/S,Linearity,실적,0.9500,,,,,,
332,GMS,202502,PKG,IC,W/S,Loss,실적,0.7049 ,,,,,,
333,GMS,202502,PKG,IC,D/A,투자가동률,실적,0.4053,,,,,,
334,GMS,202502,PKG,IC,D/A,No Wip,실적,0.1983,,,,,,
335,GMS,202502,PKG,IC,D/A,Linearity,실적,0.9500,,,,,,
336,GMS,202502,PKG,IC,D/A,Loss,실적,0.5947 ,,,,,,
337,GMS,202502,PKG,IC,FCB,투자가동률,실적,0.0128,,,,,,
338,GMS,202502,PKG,IC,FCB,No Wip,실적,0.0046,,,,,,
339,GMS,202502,PKG,IC,FCB,Linearity,실적,0.9500,,,,,,
340,GMS,202502,PKG,IC,FCB,Loss,실적,0.9872 ,,,,,,
341,GMS,202502,PKG,IC,W/B,투자가동률,실적,0.9633,,,,,,
342,GMS,202502,PKG,IC,W/B,No Wip,실적,0.1653,,,,,,
343,GMS,202502,PKG,IC,W/B,Linearity,실적,0.9500,,,,,,
344,GMS,202502,PKG,IC,W/B,Loss,실적,0.0367 ,,,,,,
345,GMS,202502,PKG,IC,M/D,투자가동률,실적,0.4503,,,,,,
346,GMS,202502,PKG,IC,M/D,No Wip,실적,0.2921,,,,,,
347,GMS,202502,PKG,IC,M/D,Linearity,실적,0.9500,,,,,,
348,GMS,202502,PKG,IC,M/D,Loss,실적,0.5497 ,,,,,,
349,GMS,202502,PKG,IC,M/K,투자가동률,실적,0.6456,,,,,,
350,GMS,202502,PKG,IC,M/K,No Wip,실적,0.0322,,,,,,
351,GMS,202502,PKG,IC,M/K,Linearity,실적,0.9500,,,,,,
352,GMS,202502,PKG,IC,M/K,Loss,실적,0.3544 ,,,,,,
